wandb_id,loss variation,w_pred,w_comp,w_diss,w_pen,w_res,run name,best valid MSE,best position MSE,best angular MSE,best penetration
ie0372_cz9zvi51,1,1.0,0.01,0.01,0.01,1.0,ie0372,25717.46686145559,0.14394945492031946,1.7858448282026997,0.017485700337142987
ie0373_5ksdyvv2,1,1.0,0.01,0.01,0.03,1.0,ie0373,15951.67658603744,0.04470923976571082,1.2629198818314091,0.01663235071937764
ie0374_68jkzsn9,1,1.0,0.01,0.01,0.1,1.0,ie0374,12440.38927057452,0.05834812651040065,0.8989107630096761,0.021188080367232937
ie0375_vrq7o8ix,1,1.0,0.01,0.01,0.3,1.0,ie0375,10349.603306752455,0.04931513739971055,1.0724403160540796,0.02018856355595486
ie0376_w3dx8u5c,1,1.0,0.01,0.01,1.0,1.0,ie0376,16138.462953319191,0.06497023482325086,1.3500308959999716,0.011225622138726733
ie0377_xpa92hsq,1,1.0,0.01,0.01,3.0,1.0,ie0377,15759.873404119542,0.05976270190380175,1.0210536908840577,0.016098208748062778
ie0378_ztc0hzg1,1,1.0,0.01,0.01,10.0,1.0,ie0378,12815.151943291801,0.07169502474521988,1.6060303547241184,0.015955183339916613
ie0379_h1md7af3,1,1.0,0.01,0.01,30.0,1.0,ie0379,17638.81591834174,0.08006230815242119,1.5888090355958693,0.012901125695029571
ie0380_lbmd8ee2,1,1.0,0.01,0.01,100.0,1.0,ie0380,15132.943837235103,0.06925286448751503,1.5107859875098146,0.01771111488550383
ie0381_eds9slb6,1,1.0,0.01,0.03,0.01,1.0,ie0381,18572.40205227133,0.04869770098202851,1.5119334952811012,0.008719039769765524
ie0382_hbv4y2mk,1,1.0,0.01,0.03,0.03,1.0,ie0382,22749.901077511156,0.0752397580885141,1.7282169924503332,0.011442880747539323
ie0383_nxdgz9ia,1,1.0,0.01,0.03,0.1,1.0,ie0383,20671.090706148523,0.08150689348521152,1.311923581662952,0.012955552959178033
ie0384_flz1pqi9,1,1.0,0.01,0.03,0.3,1.0,ie0384,12738.728255106007,0.05185958358668798,1.3405723788121537,0.013011897045378102
ie0385_wxhlummk,1,1.0,0.01,0.03,1.0,1.0,ie0385,19923.67696389049,0.07860764051454425,1.8445531194551634,0.004034755718683912
ie0386_9upwpi0g,1,1.0,0.01,0.03,3.0,1.0,ie0386,14429.99245888166,0.07048827105807001,1.859807219699355,0.017379542014718405
ie0387_54o0gv1t,1,1.0,0.01,0.03,10.0,1.0,ie0387,19650.773718478442,0.04642922475512602,1.2209617451999182,0.017974760342979457
ie0388_hppejv4g,1,1.0,0.01,0.03,30.0,1.0,ie0388,23861.61903261848,0.062049730600707995,1.7036694577590967,0.011514775064211238
ie0389_deahbp0f,1,1.0,0.01,0.03,100.0,1.0,ie0389,15002.265266343113,0.05707441390795698,1.0167695708239068,0.016943165568396475
ie0390_sn3io33x,1,1.0,0.01,0.1,0.01,1.0,ie0390,17644.01254529096,0.03434980231935238,1.5130563201163216,0.0038976146508821847
ie0391_5atsruso,1,1.0,0.01,0.1,0.03,1.0,ie0391,15215.653060979657,0.05925370819355484,1.0187757300114466,0.003600046194876299
ie0392_5lctuamr,1,1.0,0.01,0.1,0.1,1.0,ie0392,12080.412802538802,0.04898258715412862,1.4799399268811237,0.011724616201908762
ie0393_ssd33m6r,1,1.0,0.01,0.1,0.3,1.0,ie0393,14719.60137203689,0.07229050880948666,1.3178833221758897,0.006743474516247912
ie0394_y398w3ss,1,1.0,0.01,0.1,1.0,1.0,ie0394,15829.087085324583,0.07363808074823108,1.5749159698162631,0.015538119801973924
ie0395_z1b6ez0r,1,1.0,0.01,0.1,3.0,1.0,ie0395,13864.029852691634,0.048530776025837094,0.9768498402798302,0.017542884611046465
ie0396_iitsuxoa,1,1.0,0.01,0.1,10.0,1.0,ie0396,22632.985076191526,0.08242842910474245,1.125600407258511,0.019839956189781953
ie0397_wua6kust,1,1.0,0.01,0.1,30.0,1.0,ie0397,14499.58633050209,0.06856400134120982,1.0448540767315273,0.015593664242590895
ie0398_y2dii2ei,1,1.0,0.01,0.1,100.0,1.0,ie0398,12352.32488521438,0.05484396707303317,1.055484755605573,0.008814978012021624
ie0399_odc787mf,1,1.0,0.01,0.3,0.01,1.0,ie0399,13278.296383294015,0.1090913813407443,1.067627052665936,0.007638238786928273
ie0400_f3jhvk3g,1,1.0,0.01,0.3,0.03,1.0,ie0400,21609.839440738484,0.1029978768439771,1.5267332976956165,0.004004811060459713
ie0401_paxvc1x6,1,1.0,0.01,0.3,0.1,1.0,ie0401,15738.292915891681,0.05792300146574616,0.9790603196140795,0.016154309787967794
ie0402_ggh1xt1q,1,1.0,0.01,0.3,0.3,1.0,ie0402,18866.588274344685,0.062978774315976,1.6614375421783645,0.014579190671299907
ie0403_3w5ilnfm,1,1.0,0.01,0.3,1.0,1.0,ie0403,16180.213860046944,0.08546916109802316,1.6440325605131563,0.017517797899913912
ie0404_mda60fey,1,1.0,0.01,0.3,3.0,1.0,ie0404,18720.578197040973,0.08743416394441586,1.5848885433637663,0.0066313951866012995
ie0405_v1y2pbye,1,1.0,0.01,0.3,10.0,1.0,ie0405,18609.901247536145,0.0883474744368484,1.6360761418238134,0.018385248998476985
ie0406_21vj6yqj,1,1.0,0.01,0.3,30.0,1.0,ie0406,12892.750920826033,0.0686092641040105,1.4546862166789976,0.017328968548675633
ie0407_n0o5y00a,1,1.0,0.01,0.3,100.0,1.0,ie0407,13081.172671591597,0.04857384707683408,0.9188613812521744,0.01857810352868829
ie0408_735u4wd2,1,1.0,0.01,1.0,0.01,1.0,ie0408,20140.34051371376,0.05622125212757029,1.7411276770924775,0.012328830715534072
ie0409_nlwtxtwi,1,1.0,0.01,1.0,0.03,1.0,ie0409,19782.5470781116,0.06302323609331795,1.9672455738319308,0.005901040449876268
ie0410_aow1z89s,1,1.0,0.01,1.0,0.1,1.0,ie0410,14036.225839230709,0.06230715526530419,1.1123012616337604,0.01177078264628533
ie0411_ex8q4w2k,1,1.0,0.01,1.0,0.3,1.0,ie0411,10876.07357183962,0.07125449865797556,1.3321717650847937,0.018875691857187966
ie0412_jn9144g4,1,1.0,0.01,1.0,1.0,1.0,ie0412,13993.569303007953,0.06640787433322341,1.450556552635049,0.015799987333573053
ie0413_kqvk289p,1,1.0,0.01,1.0,3.0,1.0,ie0413,15503.433504216551,0.07588360849017037,1.4689340655286736,0.015859320440456744
ie0414_3p0i0kg0,1,1.0,0.01,1.0,10.0,1.0,ie0414,17121.905945890147,0.07578738944436943,1.6837523666743017,0.013351215338344071
