wandb_id,run name,loss variation,w_comp,w_diss,w_pen
a5b4unqs,he0000,1,0.01,0.01,0.01 >> /home/bibit/dair_pll/logs/train_he0000.txt
9yyz6p9o,he0001,2,0.01,0.01,0.01 >> /home/bibit/dair_pll/logs/train_he0001.txt
7cnhwmjr,he0002,3,0.01,0.01,0.01 >> /home/bibit/dair_pll/logs/train_he0002.txt
xhgq473m,he0003,1,0.01,0.01,0.1 >> /home/bibit/dair_pll/logs/train_he0003.txt
5l2glu4e,he0004,2,0.01,0.01,0.1 >> /home/bibit/dair_pll/logs/train_he0004.txt
udf0ncy3,he0005,3,0.01,0.01,0.1 >> /home/bibit/dair_pll/logs/train_he0005.txt
5cm9c2uo,he0006,1,0.01,0.01,1.0 >> /home/bibit/dair_pll/logs/train_he0006.txt
cfhlcj1v,he0007,2,0.01,0.01,1.0 >> /home/bibit/dair_pll/logs/train_he0007.txt
nicz1j1g,he0008,3,0.01,0.01,1.0 >> /home/bibit/dair_pll/logs/train_he0008.txt
ez4zrj7t,he0009,1,0.01,0.01,10.0 >> /home/bibit/dair_pll/logs/train_he0009.txt
ntzeaejo,he0010,2,0.01,0.01,10.0 >> /home/bibit/dair_pll/logs/train_he0010.txt
jtbyhfwr,he0011,3,0.01,0.01,10.0 >> /home/bibit/dair_pll/logs/train_he0011.txt
5m71wt6p,he0012,1,0.01,0.01,100.0 >> /home/bibit/dair_pll/logs/train_he0012.txt
u0hnydyd,he0013,2,0.01,0.01,100.0 >> /home/bibit/dair_pll/logs/train_he0013.txt
y12sidm6,he0014,3,0.01,0.01,100.0 >> /home/bibit/dair_pll/logs/train_he0014.txt
n03uz81j,he0015,1,0.01,0.1,0.01 >> /home/bibit/dair_pll/logs/train_he0015.txt
til5nz9c,he0016,2,0.01,0.1,0.01 >> /home/bibit/dair_pll/logs/train_he0016.txt
y0t01fex,he0017,3,0.01,0.1,0.01 >> /home/bibit/dair_pll/logs/train_he0017.txt
591zr8f3,he0018,1,0.01,0.1,0.1 >> /home/bibit/dair_pll/logs/train_he0018.txt
