wandb_id,run name,loss variation,w_comp,w_diss,w_pen,best valid MSE
a5b4unqs,he0000,1,0.01,0.01,0.01,5674.6147449499185
9yyz6p9o,he0001,2,0.01,0.01,0.01,10966.398524384087
7cnhwmjr,he0002,3,0.01,0.01,0.01,16144.82852951643
xhgq473m,he0003,1,0.01,0.01,0.1,8480.07661596614
5l2glu4e,he0004,2,0.01,0.01,0.1,10916.217011382347
udf0ncy3,he0005,3,0.01,0.01,0.1,10943.865882965549
5cm9c2uo,he0006,1,0.01,0.01,1.0,9683.121255104317
cfhlcj1v,he0007,2,0.01,0.01,1.0,14199.283230007524
nicz1j1g,he0008,3,0.01,0.01,1.0,7534.7298217223415
ez4zrj7t,he0009,1,0.01,0.01,10.0,2728.1639647672955
ntzeaejo,he0010,2,0.01,0.01,10.0,10375.852794309285
jtbyhfwr,he0011,3,0.01,0.01,10.0,11282.967319646956
5m71wt6p,he0012,1,0.01,0.01,100.0,5825.331834395222
u0hnydyd,he0013,2,0.01,0.01,100.0,10958.585263577705
y12sidm6,he0014,3,0.01,0.01,100.0,10495.350043494536
n03uz81j,he0015,1,0.01,0.1,0.01,4488.2873255525765
til5nz9c,he0016,2,0.01,0.1,0.01,10759.42137397864
y0t01fex,he0017,3,0.01,0.1,0.01,6556.259496502343
591zr8f3,he0018,1,0.01,0.1,0.1,7317.202509452269
nvp60x7w,he0019,2,0.01,0.1,0.1,11824.635983561446
d30l74u1,he0020,3,0.01,0.1,0.1,13337.999563695252
2vctud60,he0021,1,0.01,0.1,1.0,4079.447617030507
m10h1ybh,he0022,2,0.01,0.1,1.0,14090.148323511581
w3rmhffk,he0023,3,0.01,0.1,1.0,16956.939841282365
au463opm,he0024,1,0.01,0.1,10.0,2812.212549460396
7gyd2l37,he0025,2,0.01,0.1,10.0,9834.360066422316
rl1byqmy,he0026,3,0.01,0.1,10.0,14606.377579754066
cldvh9fp,he0027,1,0.01,0.1,100.0,6157.129437093108
5wyw2kec,he0028,2,0.01,0.1,100.0,16158.218378852238
xp0ob9b2,he0029,3,0.01,0.1,100.0,20462.502434410148
gv6sh66r,he0030,1,0.01,1.0,0.01,7321.933728644789
rqa8ienl,he0031,2,0.01,1.0,0.01,12161.01414017058
p617szf9,he0032,3,0.01,1.0,0.01,10828.503644654786
92kr3mx0,he0033,1,0.01,1.0,0.1,5448.674080353496
mijgpj3w,he0034,2,0.01,1.0,0.1,14172.728431751997
le6a7fk3,he0035,3,0.01,1.0,0.1,11487.20460045258
gu8jddzd,he0036,1,0.01,1.0,1.0,5473.295072123905
4xx6skek,he0037,2,0.01,1.0,1.0,9982.221429772433
la7jslof,he0038,3,0.01,1.0,1.0,13020.708964839943
4g0hiog3,he0039,1,0.01,1.0,10.0,4643.30949070881
zwg911yn,he0040,2,0.01,1.0,10.0,12342.061972433155
ol8dh0n0,he0041,3,0.01,1.0,10.0,10841.604752454565
e41wntmb,he0042,1,0.01,1.0,100.0,4616.271963715701
66g61odm,he0043,2,0.01,1.0,100.0,9600.600511269386
craehytm,he0044,3,0.01,1.0,100.0,14681.95927572959
pth4vyvi,he0045,1,0.01,10.0,0.01,11498.191989350835
clfr0lf3,he0046,2,0.01,10.0,0.01,11072.633631897319
jnmphi0p,he0047,3,0.01,10.0,0.01,17092.39334833034
jlfd0bd0,he0048,1,0.01,10.0,0.1,16403.51565072468
wzlc6ego,he0049,2,0.01,10.0,0.1,11019.728211753007
bgb49n0r,he0050,3,0.01,10.0,0.1,10639.5426414469
1pib1aov,he0051,1,0.01,10.0,1.0,8269.88532930649
pqpuakx0,he0052,2,0.01,10.0,1.0,14611.40579074977
zmubc4qi,he0053,3,0.01,10.0,1.0,10355.084968916333
g3c1ea3y,he0054,1,0.01,10.0,10.0,8720.768201811417
wa8qv1pz,he0055,2,0.01,10.0,10.0,12278.637854763843
ndfuf2iu,he0056,3,0.01,10.0,10.0,31766.88309286476
pzuk8a2u,he0057,1,0.01,10.0,100.0,8597.192366498111
43wi4pl2,he0058,2,0.01,10.0,100.0,12229.453002158574
czb1d9pj,he0059,3,0.01,10.0,100.0,12058.411216621425
4gfrswt3,he0060,1,0.01,100.0,0.01,9707.000797885752
4jj2p7yi,he0061,2,0.01,100.0,0.01,14771.701215708581
o9yfwy52,he0062,3,0.01,100.0,0.01,10366.122825182021
7v1j0nno,he0063,1,0.01,100.0,0.1,14779.825037710962
q96hka09,he0064,2,0.01,100.0,0.1,11348.74656915102
l483a2ce,he0065,3,0.01,100.0,0.1,23228.34017914575
