wandb_id,run name,loss variation,w_comp,w_diss,w_pen
ie0000_teu4ksa3,ie0000,1,0.01,0.01,0.01
ie0001_rb0gvffl,ie0001,2,0.01,0.01,0.01
ie0002_xgnek0yq,ie0002,3,0.01,0.01,0.01
ie0003_kjzlzcvu,ie0003,1,0.01,0.01,0.1
ie0004_zt2evgcm,ie0004,2,0.01,0.01,0.1
ie0005_uspt2rys,ie0005,3,0.01,0.01,0.1
ie0006_485zu0wv,ie0006,1,0.01,0.01,1.0
ie0007_66e0g7ku,ie0007,2,0.01,0.01,1.0
ie0008_6yl1wxfb,ie0008,3,0.01,0.01,1.0
ie0009_bozyjd98,ie0009,1,0.01,0.01,10.0
ie0010_2sc5mkpl,ie0010,2,0.01,0.01,10.0
ie0011_svhaec9u,ie0011,3,0.01,0.01,10.0
ie0012_ockn44xq,ie0012,1,0.01,0.01,100.0
ie0013_8w5nz1cu,ie0013,2,0.01,0.01,100.0
ie0014_tnuc4zxu,ie0014,3,0.01,0.01,100.0
ie0015_oftbyxto,ie0015,1,0.01,0.1,0.01
ie0016_gqhihuwr,ie0016,2,0.01,0.1,0.01
ie0017_75b2lmlv,ie0017,3,0.01,0.1,0.01
ie0018_gpeyv0dc,ie0018,1,0.01,0.1,0.1
ie0019_wbo9rdwn,ie0019,2,0.01,0.1,0.1
ie0020_1hlrga8e,ie0020,3,0.01,0.1,0.1
ie0021_y5bc6abf,ie0021,1,0.01,0.1,1.0
ie0022_hdwyqdyu,ie0022,2,0.01,0.1,1.0
ie0023_sihhbweq,ie0023,3,0.01,0.1,1.0
ie0024_4or3nm1h,ie0024,1,0.01,0.1,10.0
ie0025_vhms4tei,ie0025,2,0.01,0.1,10.0
ie0026_68qswp5h,ie0026,3,0.01,0.1,10.0
ie0027_b8ki930p,ie0027,1,0.01,0.1,100.0
ie0028_ndcf80n4,ie0028,2,0.01,0.1,100.0
ie0029_83a4mwwn,ie0029,3,0.01,0.1,100.0
ie0030_imn26jou,ie0030,1,0.01,1.0,0.01
ie0031_5wnyrhbu,ie0031,2,0.01,1.0,0.01
ie0032_45k4yb0f,ie0032,3,0.01,1.0,0.01
ie0033_0yb0yf9h,ie0033,1,0.01,1.0,0.1
ie0034_ix7x8sgc,ie0034,2,0.01,1.0,0.1
ie0035_p17f6n4y,ie0035,3,0.01,1.0,0.1
ie0036_38eu66b4,ie0036,1,0.01,1.0,1.0
ie0037_dcqdb1z4,ie0037,2,0.01,1.0,1.0
ie0038_qxq1gyt5,ie0038,3,0.01,1.0,1.0
ie0039_sxfn4pde,ie0039,1,0.01,1.0,10.0
ie0040_hq1fz3sg,ie0040,2,0.01,1.0,10.0
ie0041_ge3bq66b,ie0041,3,0.01,1.0,10.0
ie0042_xm0ycc0q,ie0042,1,0.01,1.0,100.0
ie0043_cwdtnxft,ie0043,2,0.01,1.0,100.0
ie0044_0w9d4ea3,ie0044,3,0.01,1.0,100.0
ie0045_rb1v38wf,ie0045,1,0.01,10.0,0.01
ie0046_0e7oms4p,ie0046,2,0.01,10.0,0.01
ie0047_4kszp9rd,ie0047,3,0.01,10.0,0.01
ie0048_9q26u3lz,ie0048,1,0.01,10.0,0.1
ie0049_01rm6kgm,ie0049,2,0.01,10.0,0.1
ie0050_l8x6cypz,ie0050,3,0.01,10.0,0.1
ie0051_qlc41kge,ie0051,1,0.01,10.0,1.0
ie0052_btak37r0,ie0052,2,0.01,10.0,1.0
ie0053_jv47mjtm,ie0053,3,0.01,10.0,1.0
ie0054_4zcayubj,ie0054,1,0.01,10.0,10.0
ie0055_zfvexjp0,ie0055,2,0.01,10.0,10.0
ie0056_iig2dgw1,ie0056,3,0.01,10.0,10.0
ie0057_3c1mqgxk,ie0057,1,0.01,10.0,100.0
ie0058_r1k59xe4,ie0058,2,0.01,10.0,100.0
ie0059_ims8abvy,ie0059,3,0.01,10.0,100.0
ie0060_jxrpnuee,ie0060,1,0.01,100.0,0.01
ie0061_oe43rwfe,ie0061,2,0.01,100.0,0.01
ie0062_zpbxk9nf,ie0062,3,0.01,100.0,0.01
ie0063_ap68hcjv,ie0063,1,0.01,100.0,0.1
ie0064_yw8o8hiu,ie0064,2,0.01,100.0,0.1
ie0065_8sjx095l,ie0065,3,0.01,100.0,0.1
ie0066_hawp4crx,ie0066,1,0.01,100.0,1.0
ie0067_pkj4yfyk,ie0067,2,0.01,100.0,1.0
ie0068_j5ekp40u,ie0068,3,0.01,100.0,1.0
